  Rank        HOTA    appearance_thresh    fuse_score  gmc_method       match_thresh  model      new_track_scaling_factor    proximity_thresh    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type    with_reid
    48  0.767621                   0.25             0  sparseOptFlow      1.23643     auto                    0.606858                    0.5              42                  0.000114651         0.0184582    botsort         False
    49  0.753035                   0.25             1  sparseOptFlow      8.22116     auto                    0.755105                    0.5              31                  0.688862            0.346892     botsort         False
    50  0.745697                   0.25             0  sparseOptFlow      2.89952     auto                    7.74385e-05                 0.5               1                  0.000456612         0.686271     botsort         False
    51  0.736989                   0.25             0  sparseOptFlow      0.806764    auto                    0.124583                    0.5               1                  0.000739507         0.69004      botsort         False
    52  0.726009                   0.25             0  sparseOptFlow      3.43058     auto                    0.156092                    0.5              25                  0.0334395           0.78115      botsort         False
    53  0.711796                   0.25             0  sparseOptFlow      4.99564     auto                    0.572726                    0.5               1                  0.000202101         0.00106897   botsort         False
    54  0.709691                   0.25             1  sparseOptFlow      9.99899     auto                    0.672563                    0.5               1                  0.754937            0.283657     botsort         False
    55  0.696909                   0.25             1  sparseOptFlow      7.63354     auto                    0.274252                    0.5              55                  0.600522            0.640058     botsort         False
    56  0.64792                    0.25             1  sparseOptFlow      7.17161     auto                    0.642366                    0.5              60                  0.879677            0.000139889  botsort         False
    57  0.638757                   0.25             0  sparseOptFlow      9.99887     auto                    0.0998105                   0.5               4                  0.000109566         0.000343927  botsort         False
    58  0.636514                   0.25             0  sparseOptFlow      2.53037     auto                    0.558335                    0.5              60                  0.000678504         0.000114272  botsort         False
    59  0.555092                   0.25             0  sparseOptFlow      4.92833     auto                    0.293354                    0.5              35                  0.761717            0.5536       botsort         False
    60  0.539488                   0.25             0  sparseOptFlow      1.97315     auto                    0.569617                    0.5              10                  0.680274            0.670539     botsort         False
    61  0.515539                   0.25             0  sparseOptFlow      6.58256     auto                    0.702439                    0.5              53                  0.259421            0.717005     botsort         False
    62  0.492891                   0.25             1  sparseOptFlow      2.83082     auto                    0.887938                    0.5              17                  0.359715            0.269179     botsort         False
    63  0.310763                   0.25             1  sparseOptFlow      6.20568     auto                    0.107508                    0.5              13                  0.86134             0.495566     botsort         False
    64  0.247752                   0.25             1  sparseOptFlow      8.27004     auto                    0.677703                    0.5              49                  0.441122            0.814803     botsort         False
    65  0.16932                    0.25             0  sparseOptFlow      9.20091     auto                    0.929383                    0.5              28                  0.0739421           0.284419     botsort         False
    66  0.120079                   0.25             1  sparseOptFlow      0.190045    auto                    0.224683                    0.5              57                  0.190671            0.386652     botsort         False
    67  0.0810262                  0.25             0  sparseOptFlow      0.00678369  auto                    0.554776                    0.5              19                  0.000512319         0.214514     botsort         False
    68  0.00222579                 0.25             1  sparseOptFlow      1.22323     auto                    0.484196                    0.5              52                  0.296834            0.96327      botsort         False
    69  0                          0.25             0  sparseOptFlow      1.07331     auto                    0.989236                    0.5              49                  0.391952            0.882512     botsort         False
    70  0                          0.25             1  sparseOptFlow      1.76386     auto                    0.333621                    0.5               3                  0.979482            0.159178     botsort         False
    71  0                          0.25             0  sparseOptFlow      5.05757     auto                    0.872069                    0.5               6                  0.531646            0.991304     botsort         False
    72  0                          0.25             0  sparseOptFlow      8.04014     auto                    0.0232666                   0.5              39                  0.893562            0.858741     botsort         False
    73  0                          0.25             0  sparseOptFlow      6.32452     auto                    0.315139                    0.5              38                  3.45864e-05         0.992199     botsort         False
    74  0                          0.25             0  sparseOptFlow      6.56111     auto                    0.997875                    0.5              35                  0.653731            0.336563     botsort         False
