  Rank      HOTA    appearance_thresh    fuse_score  gmc_method       match_thresh  model      new_track_scaling_factor    proximity_thresh    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type    with_reid
    48  0.738787                 0.25             0  sparseOptFlow       2.76601    auto                    0.627171                    0.5               4                  0.130584            0.23802      botsort         False
    49  0.718911                 0.25             0  sparseOptFlow       3.43058    auto                    0.156092                    0.5              25                  0.0334395           0.78115      botsort         False
    50  0.716328                 0.25             1  sparseOptFlow       8.22116    auto                    0.755105                    0.5              31                  0.688862            0.346892     botsort         False
    51  0.710613                 0.25             1  sparseOptFlow       6.51642    auto                    0.664283                    0.5              56                  0.81591             0.000140778  botsort         False
    52  0.709989                 0.25             1  sparseOptFlow       9.99669    auto                    0.77746                     0.5               1                  0.768447            0.000110925  botsort         False
    53  0.706248                 0.25             1  sparseOptFlow       4.80316    auto                    0.633013                    0.5               1                  0.000168046         0.000222562  botsort         False
    54  0.651593                 0.25             0  sparseOptFlow       9.99966    auto                    0.421428                    0.5               1                  0.00023263          0.000319553  botsort         False
    55  0.624934                 0.25             1  sparseOptFlow       7.63354    auto                    0.274252                    0.5              55                  0.600522            0.640058     botsort         False
    56  0.605385                 0.25             0  sparseOptFlow       8.0081     auto                    0.203593                    0.5              60                  0.000279376         0.000211964  botsort         False
    57  0.501476                 0.25             0  sparseOptFlow       4.92833    auto                    0.293354                    0.5              35                  0.761717            0.5536       botsort         False
    58  0.475497                 0.25             0  sparseOptFlow       6.58256    auto                    0.702439                    0.5              53                  0.259421            0.717005     botsort         False
    59  0.468729                 0.25             1  sparseOptFlow       2.83082    auto                    0.887938                    0.5              17                  0.359715            0.269179     botsort         False
    60  0.459029                 0.25             0  sparseOptFlow       1.97315    auto                    0.569617                    0.5              10                  0.680274            0.670539     botsort         False
    61  0.414245                 0.25             1  sparseOptFlow       9.99831    auto                    0.902185                    0.5              45                  0.175051            0.265496     botsort         False
    62  0.327431                 0.25             0  sparseOptFlow       9.48252    auto                    0.907043                    0.5              32                  0.118086            0.295752     botsort         False
    63  0.226388                 0.25             1  sparseOptFlow       6.20568    auto                    0.107508                    0.5              13                  0.86134             0.495566     botsort         False
    64  0.120482                 0.25             1  sparseOptFlow       0.190045   auto                    0.224683                    0.5              57                  0.190671            0.386652     botsort         False
    65  0.114772                 0.25             0  sparseOptFlow       0.0049064  auto                    0.0897879                   0.5               4                  5.48412e-05         0.708906     botsort         False
    66  0.10308                  0.25             1  sparseOptFlow       8.27004    auto                    0.677703                    0.5              49                  0.441122            0.814803     botsort         False
    67  0                        0.25             0  sparseOptFlow       1.07331    auto                    0.989236                    0.5              49                  0.391952            0.882512     botsort         False
    68  0                        0.25             1  sparseOptFlow       1.76386    auto                    0.333621                    0.5               3                  0.979482            0.159178     botsort         False
    69  0                        0.25             0  sparseOptFlow       5.05757    auto                    0.872069                    0.5               6                  0.531646            0.991304     botsort         False
    70  0                        0.25             0  sparseOptFlow       8.04014    auto                    0.0232666                   0.5              39                  0.893562            0.858741     botsort         False
    71  0                        0.25             0  sparseOptFlow       5.49317    auto                    0.297573                    0.5              21                  3.13764e-05         0.9996       botsort         False
    72  0                        0.25             0  sparseOptFlow       6.56111    auto                    0.997875                    0.5              35                  0.653731            0.336563     botsort         False
    73  0                        0.25             1  sparseOptFlow       1.22323    auto                    0.484196                    0.5              52                  0.296834            0.96327      botsort         False
    74  0                        0.25             1  sparseOptFlow       9.99972    auto                    0.600752                    0.5              37                  0.999926            0.508308     botsort         False
